transaction_id,date_time,customer_id,branch_id,employee_id,product_sku,product_name,product_category,unit_price,quantity,total_amount,customer_feedback,referral_source,employee_name,role,date_of_joining,leave_days_taken,sales_performance_score
TRN-020112,2024-11-23 14:59:14,CUST-1940,BCH-004,EMP-004-001,SKU-0023,Address Soap,Dairy,8.91,2,17.82,,Online Ad,Samantha Barnes,Cashier,2024-04-16,2.0,61.0
TRN-006050,2024-11-05 16:40:14,CUST-7918,BCH-001,EMP-001-004,SKU-0048,Age Juice,Snacks,3.33,1,3.33,,Word-of-Mouth,Keith Allen,Cashier,2024-02-25,3.0,64.0
TRN-042828,2024-12-24 21:00:34,CUST-5139,BCH-003,EMP-003-003,SKU-0038,Far Soap,Dairy,21.11,3,63.33,,Online Ad,Sarah Villanueva,Merchandiser,2024-12-24,2.0,81.0
TRN-011764,2024-10-11 22:07:48,CUST-3451,BCH-003,EMP-003-003,SKU-0036,Tv Chips,Personal Care,10.28,2,20.56,,Word-of-Mouth,Sarah Villanueva,Merchandiser,2024-12-24,2.0,81.0
TRN-022388,2024-11-19 22:13:55,CUST-4898,BCH-008,EMP-008-004,SKU-0097,Despite Pasta,Dairy,1.91,3,5.73,,Newspaper,Gabriella Williams,Store Manager,2024-04-19,13.0,76.0
TRN-023005,2024-10-01 00:22:23,CUST-202,BCH-006,EMP-006-001,SKU-0094,Hotel Pasta,Personal Care,12.26,3,36.78,,Social Media,Chloe Arellano,Inventory Specialist,2024-10-05,6.0,69.0
TRN-022859,2024-09-26 03:20:34,CUST-7181,BCH-004,EMP-004-003,SKU-0047,Beat Soap,Personal Care,11.33,3,33.99,,Newspaper,Mrs. Erika Wilson,Store Manager,2024-08-15,11.0,75.0
TRN-007388,2024-12-02 16:27:33,CUST-8612,BCH-010,EMP-010-004,SKU-0081,Where Juice,Dairy,16.35,1,16.35,,Online Ad,Nicole Henson,Cashier,2024-07-11,11.0,67.0
TRN-013902,2024-10-06 07:18:46,CUST-740,BCH-001,EMP-001-002,SKU-0019,Key Chips,Pantry,8.41,2,16.82,Create person woman agent. Two throw cup force them little. Rate drive sort risk.,Online Ad,April Snyder,Cashier,2024-12-02,6.0,81.0
TRN-044951,2024-11-08 20:14:02,CUST-5277,BCH-007,EMP-007-004,SKU-0039,Risk Chips,Dairy,7.13,1,7.13,Wrong star at open remain month anyone. Another consumer father.,Word-of-Mouth,Brooke Martin,Store Manager,2024-07-24,11.0,96.0
TRN-004896,2024-11-18 13:29:00,CUST-7591,BCH-005,EMP-005-001,SKU-0083,Throughout Milk,Beverages,23.76,2,47.52,,Social Media,Robert Garcia,Merchandiser,2024-02-26,6.0,93.0
TRN-009881,2024-09-25 02:31:13,CUST-6146,BCH-001,EMP-001-002,SKU-0058,Ready Chips,Pantry,20.9,1,20.9,,Newspaper,April Snyder,Cashier,2024-12-02,6.0,81.0
TRN-021363,2024-11-06 16:28:08,CUST-1062,BCH-002,EMP-002-004,SKU-0015,Case Cereal,Pantry,6.6,2,13.2,,Word-of-Mouth,Jill Carlson,Inventory Specialist,2024-05-29,10.0,78.0
TRN-031607,2024-11-04 07:59:49,CUST-1498,BCH-008,EMP-008-003,SKU-0096,Could Milk,Snacks,18.46,1,18.46,,Social Media,Brittany Vazquez,Cashier,2024-06-26,7.0,93.0
TRN-036185,2024-09-22 02:39:08,CUST-6091,BCH-010,EMP-010-000,SKU-0016,Administration Milk,Pantry,19.77,3,59.31,,Newspaper,Shawn Carroll,Store Manager,2024-06-09,2.0,80.0
TRN-026622,2024-11-04 17:50:33,CUST-9498,BCH-006,EMP-006-004,SKU-0043,Too Cereal,Snacks,17.37,1,17.37,,Newspaper,Daniel Lucas,Store Manager,2024-05-16,2.0,66.0
TRN-038525,2024-11-09 19:59:33,CUST-163,BCH-007,EMP-007-000,SKU-0071,Amount Pasta,Snacks,19.84,1,19.84,,Online Ad,Antonio Mcdonald,Merchandiser,2024-08-19,15.0,85.0
TRN-009907,2024-10-16 21:53:40,CUST-1841,BCH-004,EMP-004-002,SKU-0084,So Cereal,Personal Care,17.64,3,52.92,,Newspaper,Matthew Davies,Cashier,2024-12-22,14.0,76.0
TRN-022416,2024-12-15 06:52:21,CUST-1691,BCH-002,EMP-002-004,SKU-0094,Hotel Pasta,Personal Care,12.26,2,24.52,,Social Media,Jill Carlson,Inventory Specialist,2024-05-29,10.0,78.0
TRN-20250918-54,2025-09-18 19:43:48,CUST-7551,BCH-009,EMP-009-003,SKU-0048,Leader Milk,Dairy,11.24,2,22.48,,Newspaper,Matthew Smith,Store Manager,2024-03-15,,
TRN-020824,2024-10-29 02:09:29,CUST-5350,BCH-007,EMP-007-004,SKU-0019,Key Chips,Pantry,8.41,1,8.41,,Word-of-Mouth,Brooke Martin,Store Manager,2024-07-24,11.0,96.0
TRN-037051,2024-11-06 05:24:01,CUST-5920,BCH-002,EMP-002-004,SKU-0090,Weight Chips,Snacks,11.15,2,22.3,,Newspaper,Jill Carlson,Inventory Specialist,2024-05-29,10.0,78.0
TRN-015420,2024-12-11 17:57:16,CUST-3960,BCH-008,EMP-008-000,SKU-0084,So Cereal,Personal Care,17.64,1,17.64,,Word-of-Mouth,Kyle Ramos,Merchandiser,2024-03-08,1.0,99.0
TRN-020406,2024-11-13 16:34:14,CUST-9738,BCH-002,EMP-002-001,SKU-0003,Manage Cereal,Personal Care,2.23,3,6.69,,Social Media,Yolanda Burns,Store Manager,2024-04-27,4.0,71.0
TRN-042786,2024-11-01 15:32:08,CUST-230,BCH-008,EMP-008-000,SKU-0005,Table Cereal,Snacks,16.86,1,16.86,,Newspaper,Kyle Ramos,Merchandiser,2024-03-08,1.0,99.0
TRN-021652,2024-12-26 13:16:59,CUST-9259,BCH-006,EMP-006-004,SKU-0039,Risk Chips,Dairy,7.13,3,21.39,,Online Ad,Daniel Lucas,Store Manager,2024-05-16,2.0,66.0
TRN-034045,2024-11-25 10:32:24,CUST-670,BCH-005,EMP-005-001,SKU-0053,Structure Juice,Personal Care,5.12,2,10.24,,Newspaper,Robert Garcia,Merchandiser,2024-02-26,6.0,93.0
TRN-20250916-109,2025-09-16 13:07:41,CUST-9762,BCH-005,EMP-005-003,SKU-0060,Support Juice,Dairy,3.11,1,3.11,,Social Media,Kimberly Becker,Cashier,2024-01-11,,
TRN-047668,2024-11-25 18:06:21,CUST-6309,BCH-005,EMP-005-001,SKU-0041,Black Pasta,Beverages,5.81,3,17.43,,Word-of-Mouth,Robert Garcia,Merchandiser,2024-02-26,6.0,93.0
TRN-016064,2024-10-12 00:38:30,CUST-5288,BCH-008,EMP-008-004,SKU-0051,Local Cereal,Personal Care,13.79,3,41.37,,Newspaper,Gabriella Williams,Store Manager,2024-04-19,13.0,76.0
TRN-008497,2024-10-18 13:58:06,CUST-4512,BCH-010,EMP-010-004,SKU-0064,Building Soap,Personal Care,17.17,3,51.51,Forget push child. Herself remember expert growth positive. Pick research impact without hope.,Newspaper,Nicole Henson,Cashier,2024-07-11,11.0,67.0
TRN-042345,2024-12-10 01:53:36,CUST-7700,BCH-003,EMP-003-004,SKU-0025,Somebody Juice,Personal Care,11.56,1,11.56,,Social Media,Melinda Massey,Merchandiser,2024-07-22,11.0,71.0
TRN-1757841224-113,2025-09-14 14:43:44,CUST-13788,BCH-008,EMP-008-004,SKU-0048,Leader Cereal,Snacks,16.53,3,49.59,"Poor service, not happy.",Online Ad,Gabriella Williams,Store Manager,2024-04-19,,
TRN-008218,2024-11-12 21:33:26,CUST-798,BCH-001,EMP-001-004,SKU-0028,Newspaper Juice,Dairy,13.48,3,40.44,,Word-of-Mouth,Keith Allen,Cashier,2024-02-25,3.0,64.0
TRN-017502,2024-12-12 17:33:01,CUST-3743,BCH-004,EMP-004-000,SKU-0069,After Milk,Pantry,22.03,2,44.06,,Online Ad,Robert Atkinson,Cashier,2024-12-13,8.0,80.0
TRN-036620,2024-12-05 23:42:49,CUST-2492,BCH-001,EMP-001-004,SKU-0077,Your Juice,Pantry,15.83,2,31.66,,Newspaper,Keith Allen,Cashier,2024-02-25,3.0,64.0
TRN-047540,2024-11-13 15:12:32,CUST-9467,BCH-005,EMP-005-004,SKU-0037,Five Pasta,Pantry,21.45,3,64.35,,Word-of-Mouth,Colin Greer,Cashier,2024-02-16,7.0,87.0
TRN-013683,2024-11-21 19:13:31,CUST-9818,BCH-002,EMP-002-002,SKU-0045,Industry Cereal,Dairy,6.91,1,6.91,City around cut possible wait compare believe.,Word-of-Mouth,Michelle Kelley,Cashier,2024-11-12,13.0,98.0
TRN-032193,2024-10-31 07:55:15,CUST-25,BCH-010,EMP-010-004,SKU-0007,Type Juice,Dairy,11.08,1,11.08,,Online Ad,Nicole Henson,Cashier,2024-07-11,11.0,67.0
TRN-043877,2024-12-12 20:51:53,CUST-8973,BCH-001,EMP-001-003,SKU-0052,Such Soap,Snacks,24.47,1,24.47,,Word-of-Mouth,Nicholas Padilla,Store Manager,2024-01-25,6.0,83.0
TRN-20250916-147,2025-09-16 13:07:41,CUST-3925,BCH-008,EMP-008-001,SKU-0020,Mother Juice,Personal Care,15.18,3,45.54,,Social Media,Michael Mccullough,Inventory Specialist,2024-12-05,,
TRN-049749,2024-10-14 12:30:05,CUST-9174,BCH-003,EMP-003-004,SKU-0051,Local Cereal,Personal Care,13.79,3,41.37,,Social Media,Melinda Massey,Merchandiser,2024-07-22,11.0,71.0
TRN-014388,2024-11-10 17:41:46,CUST-891,BCH-002,EMP-002-000,SKU-0052,Such Soap,Snacks,24.47,1,24.47,,Online Ad,Jo Miller,Store Manager,2024-05-04,3.0,61.0
TRN-046838,2024-10-30 06:02:52,CUST-5307,BCH-007,EMP-007-000,SKU-0005,Table Cereal,Snacks,16.86,3,50.58,,Online Ad,Antonio Mcdonald,Merchandiser,2024-08-19,15.0,85.0
TRN-026231,2024-10-20 07:32:55,CUST-9484,BCH-010,EMP-010-002,SKU-0027,Republican Milk,Beverages,5.62,1,5.62,,Online Ad,Amber Griffin,Cashier,2024-04-10,2.0,70.0
TRN-047242,2024-09-21 12:32:03,CUST-7425,BCH-008,EMP-008-002,SKU-0046,Product Soap,Personal Care,15.94,1,15.94,,Word-of-Mouth,Emily Howard,Store Manager,2024-11-21,4.0,100.0
TRN-035283,2024-12-24 06:03:25,CUST-5014,BCH-003,EMP-003-004,SKU-0079,Writer Soap,Beverages,15.12,3,45.36,,Newspaper,Melinda Massey,Merchandiser,2024-07-22,11.0,71.0
TRN-023100,2024-10-24 17:18:05,CUST-7823,BCH-006,EMP-006-000,SKU-0051,Local Cereal,Personal Care,13.79,1,13.79,,Online Ad,Jacob Hooper,Merchandiser,2024-01-15,9.0,77.0
TRN-018715,2024-10-02 22:06:30,CUST-1167,BCH-003,EMP-003-002,SKU-0033,Political Milk,Pantry,19.08,1,19.08,,Newspaper,Michael Anderson,Cashier,2024-02-28,5.0,66.0
TRN-031780,2024-09-27 00:54:27,CUST-3522,BCH-002,EMP-002-000,SKU-0011,Official Soap,Snacks,7.42,3,22.26,,Online Ad,Jo Miller,Store Manager,2024-05-04,3.0,61.0
TRN-029406,2024-11-06 05:29:57,CUST-9440,BCH-010,EMP-010-002,SKU-0093,Learn Milk,Personal Care,14.69,1,14.69,,Online Ad,Amber Griffin,Cashier,2024-04-10,2.0,70.0
TRN-032867,2024-10-21 02:10:17,CUST-763,BCH-001,EMP-001-001,SKU-0097,Despite Pasta,Dairy,1.91,3,5.73,,Online Ad,Ryan Page,Cashier,2024-10-31,9.0,67.0
TRN-047413,2024-10-31 14:56:29,CUST-5466,BCH-003,EMP-003-004,SKU-0034,Range Pasta,Personal Care,18.94,1,18.94,,Social Media,Melinda Massey,Merchandiser,2024-07-22,11.0,71.0
TRN-009705,2024-11-03 17:31:08,CUST-3386,BCH-001,EMP-001-004,SKU-0032,By Pasta,Snacks,23.14,3,69.42,,Word-of-Mouth,Keith Allen,Cashier,2024-02-25,3.0,64.0
TRN-023606,2024-09-23 15:00:08,CUST-3807,BCH-005,EMP-005-001,SKU-0025,Somebody Juice,Personal Care,11.56,3,34.68,,Newspaper,Robert Garcia,Merchandiser,2024-02-26,6.0,93.0
TRN-044245,2024-10-19 07:08:09,CUST-8450,BCH-010,EMP-010-003,SKU-0058,Ready Chips,Pantry,20.9,3,62.7,,Online Ad,Jill Dyer,Merchandiser,2024-12-18,12.0,79.0
TRN-045381,2024-12-14 13:19:15,CUST-5954,BCH-001,EMP-001-000,SKU-0095,Note Pasta,Snacks,20.86,3,62.58,,Word-of-Mouth,Robert Dunn,Inventory Specialist,2024-01-06,8.0,68.0
TRN-023482,2024-11-08 16:13:26,CUST-2979,BCH-009,EMP-009-001,SKU-0030,Billion Milk,Beverages,24.02,1,24.02,,Social Media,Ian Arroyo,Merchandiser,2024-09-03,6.0,87.0
TRN-015160,2024-10-03 09:13:49,CUST-5790,BCH-008,EMP-008-003,SKU-0020,Four Milk,Snacks,15.28,1,15.28,,Online Ad,Brittany Vazquez,Cashier,2024-06-26,7.0,93.0
TRN-003121,2024-11-04 02:33:48,CUST-6830,BCH-005,EMP-005-000,SKU-0056,Establish Milk,Pantry,24.83,3,74.49,,Online Ad,Michael Watson,Store Manager,2024-03-07,1.0,95.0
TRN-048626,2024-10-05 01:07:20,CUST-1304,BCH-001,EMP-001-002,SKU-0095,Note Pasta,Snacks,20.86,3,62.58,,Social Media,April Snyder,Cashier,2024-12-02,6.0,81.0
TRN-036095,2024-11-29 09:16:24,CUST-4703,BCH-006,EMP-006-000,SKU-0060,Technology Milk,Pantry,20.96,1,20.96,,Social Media,Jacob Hooper,Merchandiser,2024-01-15,9.0,77.0
TRN-048017,2024-09-26 17:44:13,CUST-4034,BCH-004,EMP-004-003,SKU-0024,Series Soap,Snacks,20.1,2,40.2,,Social Media,Mrs. Erika Wilson,Store Manager,2024-08-15,11.0,75.0
TRN-001430,2024-10-12 07:41:41,CUST-3009,BCH-006,EMP-006-002,SKU-0081,Where Juice,Dairy,16.35,3,49.05,,Newspaper,Daniel Owen,Cashier,2024-12-29,0.0,92.0
TRN-031142,2024-11-26 12:03:27,CUST-1986,BCH-008,EMP-008-004,SKU-0086,Reality Soap,Beverages,22.1,3,66.3,,Online Ad,Gabriella Williams,Store Manager,2024-04-19,13.0,76.0
TRN-025933,2024-11-04 12:06:02,CUST-9623,BCH-002,EMP-002-000,SKU-0069,After Milk,Pantry,22.03,1,22.03,,Newspaper,Jo Miller,Store Manager,2024-05-04,3.0,61.0
TRN-049613,2024-12-03 18:09:02,CUST-7169,BCH-010,EMP-010-004,SKU-0049,Face Pasta,Snacks,2.68,2,5.36,,Word-of-Mouth,Nicole Henson,Cashier,2024-07-11,11.0,67.0
TRN-043903,2024-10-12 17:04:08,CUST-5720,BCH-002,EMP-002-002,SKU-0009,Just Pasta,Beverages,15.73,2,31.46,,Online Ad,Michelle Kelley,Cashier,2024-11-12,13.0,98.0
TRN-025657,2024-11-04 13:33:38,CUST-3706,BCH-002,EMP-002-001,SKU-0037,Five Pasta,Pantry,21.45,3,64.35,,Social Media,Yolanda Burns,Store Manager,2024-04-27,4.0,71.0
TRN-024501,2024-09-28 11:05:07,CUST-1995,BCH-010,EMP-010-001,SKU-0082,Time Milk,Snacks,9.29,1,9.29,,Word-of-Mouth,Shane Bradley,Merchandiser,2024-10-26,14.0,65.0
TRN-018807,2024-10-28 05:02:09,CUST-8037,BCH-008,EMP-008-003,SKU-0031,Cut Milk,Personal Care,11.34,3,34.02,,Newspaper,Brittany Vazquez,Cashier,2024-06-26,7.0,93.0
TRN-1758093324-139,2025-09-17 12:45:24,CUST-18450,BCH-007,EMP-007-000,SKU-0008,Mention Milk,Beverages,17.87,2,35.74,Average experience.,Word-of-Mouth,Antonio Mcdonald,Merchandiser,2024-08-19,,
TRN-017675,2024-11-28 00:05:51,CUST-9606,BCH-004,EMP-004-000,SKU-0008,Task Soap,Beverages,3.86,2,7.72,,Online Ad,Robert Atkinson,Cashier,2024-12-13,8.0,80.0
TRN-034375,2024-10-06 19:03:41,CUST-3764,BCH-001,EMP-001-000,SKU-0094,Hotel Pasta,Personal Care,12.26,3,36.78,"West information top less ever.
Sea each town many. They sound we class threat stage large weight.",Online Ad,Robert Dunn,Inventory Specialist,2024-01-06,8.0,68.0
TRN-021998,2024-11-20 02:25:17,CUST-3402,BCH-007,EMP-007-002,SKU-0074,Event Juice,Dairy,23.63,1,23.63,,Word-of-Mouth,Julie Barrera,Cashier,2024-08-09,1.0,77.0
TRN-045177,2024-10-07 05:10:08,CUST-8679,BCH-003,EMP-003-004,SKU-0053,Structure Juice,Personal Care,5.12,1,5.12,Decade as manage treatment. Stock executive single meeting investment yet entire.,Online Ad,Melinda Massey,Merchandiser,2024-07-22,11.0,71.0
TRN-1757919706-189,2025-09-15 12:31:46,CUST-9430,BCH-005,EMP-005-003,SKU-0094,Be Chips,Pantry,21.23,3,63.69,"Service was fine, nothing to complain.",Online Ad,Kimberly Becker,Cashier,2024-01-11,,
TRN-045849,2024-11-23 16:49:53,CUST-3083,BCH-003,EMP-003-000,SKU-0026,Able Soap,Personal Care,1.46,1,1.46,,Social Media,David White,Store Manager,2024-11-15,2.0,74.0
TRN-019343,2024-11-08 18:12:39,CUST-7035,BCH-007,EMP-007-001,SKU-0033,Political Milk,Pantry,19.08,3,57.24,,Newspaper,William Gonzalez,Merchandiser,2024-05-19,0.0,82.0
TRN-018786,2024-10-23 13:13:12,CUST-5936,BCH-005,EMP-005-000,SKU-0078,Hit Cereal,Beverages,19.11,1,19.11,,Social Media,Michael Watson,Store Manager,2024-03-07,1.0,95.0
